상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
33,[NAVYFOX] 더미 상품 033 (블랙/S),디지털/가전 > 노트북,80000,38,색상,블랙,사이즈,S,NAVYFOX,MDL-0033,880560602480,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 033 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: S, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,독일,NAVYFOX 제조사,과세,판매중,전시중,12708909318
34,[TECHONE] 더미 상품 034 (네이비/FREE),디지털/가전 > 모니터,56500,19,색상,네이비,사이즈,FREE,TECHONE,MDL-0034,880266199069,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 034 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: FREE, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,TECHONE 제조사,면세,판매중,전시안함,12708909418
35,[GREENPET] 더미 상품 035 (레드/270),패션잡화 > 가방 > 백팩,26500,103,색상,레드,사이즈,270,GREENPET,MDL-0035,880689420828,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 035 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 270, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,국산,GREENPET 제조사,면세,품절,전시안함,12708909488
36,[NAVYFOX] 더미 상품 036 (베이지/XL),패션의류 > 상의 > 티셔츠,61500,80,색상,베이지,사이즈,XL,NAVYFOX,MDL-0036,880305363112,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 036 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: XL, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,NAVYFOX 제조사,면세,판매중,전시안함,12708909574
37,[URBANWEAR] 더미 상품 037 (레드/250),디지털/가전 > 노트북,35500,1,색상,레드,사이즈,250,URBANWEAR,MDL-0037,880939985372,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 037 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 250, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,일본,URBANWEAR 제조사,면세,품절,전시중,12708909668
38,[NAVYFOX] 더미 상품 038 (그레이/270),디지털/가전 > 노트북,73500,56,색상,그레이,사이즈,270,NAVYFOX,MDL-0038,880948854899,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 038 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 270, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,미국,NAVYFOX 제조사,과세,품절,전시중,12708909749
40,[COOKMASTER] 더미 상품 040 (베이지/S),반려동물 > 강아지용품 > 사료,64500,118,색상,베이지,사이즈,S,COOKMASTER,MDL-0040,880336292982,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 040 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: S, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,미국,COOKMASTER 제조사,과세,판매중,전시중,12708909846
42,[MOON] 더미 상품 042 (블랙/XL),패션의류 > 상의 > 티셔츠,121000,43,색상,블랙,사이즈,XL,MOON,MDL-0042,880702228819,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 042 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: XL, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,MOON 제조사,면세,판매중,전시안함,12708909958
43,[GREENPET] 더미 상품 043 (레드/M),패션의류 > 하의 > 청바지,106500,185,색상,레드,사이즈,M,GREENPET,MDL-0043,880646372454,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 043 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: M, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,일본,GREENPET 제조사,과세,판매중,전시안함,12708910035
44,[URBANWEAR] 더미 상품 044 (그레이/260),디지털/가전 > 노트북,125000,194,색상,그레이,사이즈,260,URBANWEAR,MDL-0044,880633522843,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 044 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,미국,URBANWEAR 제조사,면세,판매중,전시안함,12708910153
45,[URBANWEAR] 더미 상품 045 (레드/L),디지털/가전 > 모니터,86000,155,색상,레드,사이즈,L,URBANWEAR,MDL-0045,880198714762,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 045 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: L, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,중국,URBANWEAR 제조사,면세,품절,전시안함,12708910232
46,[HOMEPLUS] 더미 상품 046 (블랙/XL),패션의류 > 하의 > 청바지,137000,2,색상,블랙,사이즈,XL,HOMEPLUS,MDL-0046,880765957611,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 046 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,베트남,HOMEPLUS 제조사,과세,판매중,전시안함,12708910289
47,[COOKMASTER] 더미 상품 047 (네이비/260),패션의류 > 상의 > 티셔츠,21500,186,색상,네이비,사이즈,260,COOKMASTER,MDL-0047,880923549171,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 047 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 260, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,독일,COOKMASTER 제조사,면세,판매중,전시안함,12708910392
49,[TECHONE] 더미 상품 049 (베이지/XL),디지털/가전 > 노트북,112000,80,색상,베이지,사이즈,XL,TECHONE,MDL-0049,880688094347,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 049 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: XL, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,국산,TECHONE 제조사,면세,품절,전시안함,12708910477
50,[MOON] 더미 상품 050 (그레이/S),패션잡화 > 가방 > 백팩,120000,98,색상,그레이,사이즈,S,MOON,MDL-0050,880862156870,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 050 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: S, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,미국,MOON 제조사,과세,판매중,전시중,12708910558
52,[COOKMASTER] 더미 상품 052 (베이지/260),반려동물 > 강아지용품 > 사료,56500,197,색상,베이지,사이즈,260,COOKMASTER,MDL-0052,880401421147,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 052 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 260, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,베트남,COOKMASTER 제조사,과세,품절,전시안함,12708910665
53,[COOKMASTER] 더미 상품 053 (그레이/XL),패션잡화 > 가방 > 백팩,100500,3,색상,그레이,사이즈,XL,COOKMASTER,MDL-0053,880217789572,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 053 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,베트남,COOKMASTER 제조사,면세,품절,전시중,12708910732
