행번호,상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
12,11,[TECHONE] 더미 상품 011 (베이지/270),패션잡화 > 가방 > 백팩,107000,186,색상,베이지,사이즈,270,TECHONE,MDL-0011,880540529593,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 011 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 270, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,TECHONE 제조사,과세,품절,전시중,,12706811200
13,12,[STARLINE] 더미 상품 012 (화이트/250),패션의류 > 하의 > 청바지,63000,1,색상,화이트,사이즈,250,STARLINE,MDL-0012,880995518342,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 012 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 250, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,STARLINE 제조사,면세,품절,전시중,,12706811280
14,13,[HOMEPLUS] 더미 상품 013 (그레이/XL),패션잡화 > 가방 > 백팩,125500,114,색상,그레이,사이즈,XL,HOMEPLUS,MDL-0013,880358967503,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 013 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,베트남,HOMEPLUS 제조사,면세,품절,전시중,,12706811351
15,14,[COOKMASTER] 더미 상품 014 (네이비/270),반려동물 > 강아지용품 > 사료,45000,82,색상,네이비,사이즈,270,COOKMASTER,MDL-0014,880609031264,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 014 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 270, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,일본,COOKMASTER 제조사,과세,품절,전시안함,,12706811417
16,15,[NAVYFOX] 더미 상품 015 (레드/M),패션잡화 > 가방 > 백팩,40500,10,색상,레드,사이즈,M,NAVYFOX,MDL-0015,880808353118,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 015 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: M, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,중국,NAVYFOX 제조사,면세,품절,전시안함,,12706811478
17,16,[COOKMASTER] 더미 상품 016 (그레이/XL),디지털/가전 > 모니터,20000,168,색상,그레이,사이즈,XL,COOKMASTER,MDL-0016,880942331110,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 016 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,국산,COOKMASTER 제조사,면세,판매중,전시중,,12706811541
18,17,[MOON] 더미 상품 017 (블랙/250),식품 > 과자/간식 > 과자,82000,86,색상,블랙,사이즈,250,MOON,MDL-0017,880862305644,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 017 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 250, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,중국,MOON 제조사,과세,판매중,전시안함,,12706811611
19,18,[MOON] 더미 상품 018 (화이트/270),패션의류 > 하의 > 청바지,35000,20,색상,화이트,사이즈,270,MOON,MDL-0018,880605067834,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 018 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 270, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,국산,MOON 제조사,과세,판매중,전시중,,12706811689
20,19,[URBANWEAR] 더미 상품 019 (블랙/FREE),디지털/가전 > 노트북,71000,88,색상,블랙,사이즈,FREE,URBANWEAR,MDL-0019,880805397256,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 019 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: FREE, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,URBANWEAR 제조사,면세,판매중,전시중,,12706811754
21,20,[NAVYFOX] 더미 상품 020 (레드/250),식품 > 과자/간식 > 과자,42500,150,색상,레드,사이즈,250,NAVYFOX,MDL-0020,880585781204,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 020 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 250, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,미국,NAVYFOX 제조사,과세,판매중,전시중,,12706811835
22,21,[TECHONE] 더미 상품 021 (블랙/L),패션잡화 > 가방 > 백팩,16000,158,색상,블랙,사이즈,L,TECHONE,MDL-0021,880851082307,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 021 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,베트남,TECHONE 제조사,면세,판매중,전시안함,,12706811920
23,22,[STARLINE] 더미 상품 022 (네이비/260),패션의류 > 상의 > 티셔츠,141500,199,색상,네이비,사이즈,260,STARLINE,MDL-0022,880674030715,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 022 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 260, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,독일,STARLINE 제조사,면세,판매중,전시안함,,12706811995
24,23,[URBANWEAR] 더미 상품 023 (베이지/M),디지털/가전 > 노트북,87000,41,색상,베이지,사이즈,M,URBANWEAR,MDL-0023,880954304901,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 023 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: M, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,국산,URBANWEAR 제조사,면세,품절,전시중,,12706812065
25,24,[STARLINE] 더미 상품 024 (네이비/XL),디지털/가전 > 노트북,35000,32,색상,네이비,사이즈,XL,STARLINE,MDL-0024,880112284511,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 024 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,일본,STARLINE 제조사,면세,판매중,전시안함,,12706812132
26,25,[URBANWEAR] 더미 상품 025 (블랙/M),반려동물 > 강아지용품 > 사료,19500,200,색상,블랙,사이즈,M,URBANWEAR,MDL-0025,880676763326,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 025 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: M, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,URBANWEAR 제조사,면세,품절,전시중,,12706812197
27,26,[GREENPET] 더미 상품 026 (레드/M),패션의류 > 상의 > 티셔츠,131000,19,색상,레드,사이즈,M,GREENPET,MDL-0026,880166563831,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 026 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: M, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,국산,GREENPET 제조사,과세,품절,전시중,,12706812277
28,27,[GREENPET] 더미 상품 027 (네이비/XL),패션의류 > 하의 > 청바지,33500,130,색상,네이비,사이즈,XL,GREENPET,MDL-0027,880157282815,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 027 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,독일,GREENPET 제조사,면세,품절,전시안함,,12706812351
29,28,[GREENPET] 더미 상품 028 (네이비/250),반려동물 > 강아지용품 > 사료,88500,103,색상,네이비,사이즈,250,GREENPET,MDL-0028,880288620186,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 028 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 250, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,GREENPET 제조사,과세,품절,전시중,,12706812425
30,29,[TECHONE] 더미 상품 029 (베이지/L),디지털/가전 > 노트북,14000,61,색상,베이지,사이즈,L,TECHONE,MDL-0029,880774995818,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 029 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: L, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,독일,TECHONE 제조사,과세,판매중,전시중,,12706812497
31,30,[HOMEPLUS] 더미 상품 030 (베이지/L),디지털/가전 > 노트북,66000,121,색상,베이지,사이즈,L,HOMEPLUS,MDL-0030,880986826768,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 030 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: L, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,HOMEPLUS 제조사,과세,품절,전시안함,,12706812592
32,31,[MOON] 더미 상품 031 (그레이/250),식품 > 과자/간식 > 과자,8500,40,색상,그레이,사이즈,250,MOON,MDL-0031,880250677318,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 031 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 250, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,MOON 제조사,과세,판매중,전시중,,12706812669
33,32,[TECHONE] 더미 상품 032 (레드/270),디지털/가전 > 모니터,20000,46,색상,레드,사이즈,270,TECHONE,MDL-0032,880557155930,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 032 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 270, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,국산,TECHONE 제조사,면세,품절,전시안함,,12706812739
34,33,[NAVYFOX] 더미 상품 033 (블랙/S),디지털/가전 > 노트북,80000,38,색상,블랙,사이즈,S,NAVYFOX,MDL-0033,880560602480,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 033 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: S, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,독일,NAVYFOX 제조사,과세,판매중,전시중,,12706812806
35,34,[TECHONE] 더미 상품 034 (네이비/FREE),디지털/가전 > 모니터,56500,19,색상,네이비,사이즈,FREE,TECHONE,MDL-0034,880266199069,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 034 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: FREE, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,TECHONE 제조사,면세,판매중,전시안함,,12706812957
36,35,[GREENPET] 더미 상품 035 (레드/270),패션잡화 > 가방 > 백팩,26500,103,색상,레드,사이즈,270,GREENPET,MDL-0035,880689420828,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 035 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 270, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,국산,GREENPET 제조사,면세,품절,전시안함,,12706813060
37,36,[NAVYFOX] 더미 상품 036 (베이지/XL),패션의류 > 상의 > 티셔츠,61500,80,색상,베이지,사이즈,XL,NAVYFOX,MDL-0036,880305363112,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 036 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: XL, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,NAVYFOX 제조사,면세,판매중,전시안함,,12706813125
38,37,[URBANWEAR] 더미 상품 037 (레드/250),디지털/가전 > 노트북,35500,1,색상,레드,사이즈,250,URBANWEAR,MDL-0037,880939985372,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 037 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 250, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,일본,URBANWEAR 제조사,면세,품절,전시중,,12706813189
39,38,[NAVYFOX] 더미 상품 038 (그레이/270),디지털/가전 > 노트북,73500,56,색상,그레이,사이즈,270,NAVYFOX,MDL-0038,880948854899,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 038 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 270, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,미국,NAVYFOX 제조사,과세,품절,전시중,,12706813263
40,39,[URBANWEAR] 더미 상품 039 (화이트/FREE),생활/주방 > 주방용품 > 프라이팬,48000,187,색상,화이트,사이즈,FREE,URBANWEAR,MDL-0039,880131540898,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 039 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: FREE, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,일본,URBANWEAR 제조사,면세,판매중,전시중,,12706813332
41,40,[COOKMASTER] 더미 상품 040 (베이지/S),반려동물 > 강아지용품 > 사료,64500,118,색상,베이지,사이즈,S,COOKMASTER,MDL-0040,880336292982,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 040 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: S, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,미국,COOKMASTER 제조사,과세,판매중,전시중,,12706813403
42,41,[GREENPET] 더미 상품 041 (화이트/250),생활/주방 > 주방용품 > 프라이팬,134000,39,색상,화이트,사이즈,250,GREENPET,MDL-0041,880429362478,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 041 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 250, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,국산,GREENPET 제조사,면세,품절,전시중,,12706813494
43,42,[MOON] 더미 상품 042 (블랙/XL),패션의류 > 상의 > 티셔츠,121000,43,색상,블랙,사이즈,XL,MOON,MDL-0042,880702228819,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 042 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: XL, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,MOON 제조사,면세,판매중,전시안함,,12706813567
44,43,[GREENPET] 더미 상품 043 (레드/M),패션의류 > 하의 > 청바지,106500,185,색상,레드,사이즈,M,GREENPET,MDL-0043,880646372454,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 043 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: M, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,일본,GREENPET 제조사,과세,판매중,전시안함,,12706813645
45,44,[URBANWEAR] 더미 상품 044 (그레이/260),디지털/가전 > 노트북,125000,194,색상,그레이,사이즈,260,URBANWEAR,MDL-0044,880633522843,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 044 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,미국,URBANWEAR 제조사,면세,판매중,전시안함,,12706813726
