상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,에러타입,에러메시지
76,[HOMEPLUS] 더미 상품 076 (화이트/XL),식품 > 과자/간식 > 과자,15000,114,색상,화이트,사이즈,XL,HOMEPLUS,MDL-0076,880983502771,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 076 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: XL, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,HOMEPLUS 제조사,면세,판매중,전시안함,VALIDATION_ERROR,"행 77: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
81,[GREENPET] 더미 상품 081 (베이지/260),식품 > 과자/간식 > 과자,75500,115,색상,베이지,사이즈,260,GREENPET,MDL-0081,880769202092,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 081 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 260, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,GREENPET 제조사,과세,판매중,전시중,VALIDATION_ERROR,"행 82: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
84,[MOON] 더미 상품 084 (그레이/XL),식품 > 과자/간식 > 과자,142000,82,색상,그레이,사이즈,XL,MOON,MDL-0084,880551337737,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 084 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,베트남,MOON 제조사,과세,품절,전시중,VALIDATION_ERROR,"행 85: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
87,[MOON] 더미 상품 087 (베이지/S),식품 > 과자/간식 > 과자,89500,98,색상,베이지,사이즈,S,MOON,MDL-0087,880875757981,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 087 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: S, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,MOON 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 88: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
90,[MOON] 더미 상품 090 (레드/XL),생활/주방 > 주방용품 > 프라이팬,86000,183,색상,레드,사이즈,XL,MOON,MDL-0090,880101438119,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 090 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: XL, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,MOON 제조사,과세,품절,전시중,VALIDATION_ERROR,"행 91: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
93,[GREENPET] 더미 상품 093 (그레이/260),생활/주방 > 주방용품 > 프라이팬,53500,156,색상,그레이,사이즈,260,GREENPET,MDL-0093,880191432649,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 093 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,베트남,GREENPET 제조사,과세,판매중,전시안함,VALIDATION_ERROR,"행 94: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
99,[COOKMASTER] 더미 상품 099 (그레이/260),생활/주방 > 주방용품 > 프라이팬,92500,197,색상,그레이,사이즈,260,COOKMASTER,MDL-0099,880460300450,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 099 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,COOKMASTER 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 100: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
100,[TECHONE] 더미 상품 100 (화이트/XL),식품 > 과자/간식 > 과자,12000,38,색상,화이트,사이즈,XL,TECHONE,MDL-0100,880423573239,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 100 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: XL, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,독일,TECHONE 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 101: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
107,[MOON] 더미 상품 107 (화이트/M),식품 > 과자/간식 > 과자,55500,79,색상,화이트,사이즈,M,MOON,MDL-0107,880419133085,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 107 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: M, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,MOON 제조사,과세,품절,전시중,VALIDATION_ERROR,"행 108: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
119,[STARLINE] 더미 상품 119 (레드/270),생활/주방 > 주방용품 > 프라이팬,37000,136,색상,레드,사이즈,270,STARLINE,MDL-0119,880603161682,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 119 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 270, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,STARLINE 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 120: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
123,[HOMEPLUS] 더미 상품 123 (네이비/XL),식품 > 과자/간식 > 과자,78000,113,색상,네이비,사이즈,XL,HOMEPLUS,MDL-0123,880898580993,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 123 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,중국,HOMEPLUS 제조사,과세,판매중,전시중,VALIDATION_ERROR,"행 124: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
125,[TECHONE] 더미 상품 125 (화이트/M),식품 > 과자/간식 > 과자,86500,58,색상,화이트,사이즈,M,TECHONE,MDL-0125,880545881823,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 125 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: M, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,독일,TECHONE 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 126: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
126,[GREENPET] 더미 상품 126 (베이지/XL),생활/주방 > 주방용품 > 프라이팬,86500,105,색상,베이지,사이즈,XL,GREENPET,MDL-0126,880109755833,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 126 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: XL, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,국산,GREENPET 제조사,면세,품절,전시중,VALIDATION_ERROR,"행 127: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
129,[GREENPET] 더미 상품 129 (네이비/XL),식품 > 과자/간식 > 과자,70000,20,색상,네이비,사이즈,XL,GREENPET,MDL-0129,880886608888,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 129 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,GREENPET 제조사,면세,판매중,전시중,VALIDATION_ERROR,"행 130: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
134,[HOMEPLUS] 더미 상품 134 (베이지/270),생활/주방 > 주방용품 > 프라이팬,81500,22,색상,베이지,사이즈,270,HOMEPLUS,MDL-0134,880992608882,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 134 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 270, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,중국,HOMEPLUS 제조사,과세,품절,전시중,VALIDATION_ERROR,"행 135: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
